"Id","Name","Date","Difficulty","Perception","Source","Uri","Series","Solution","Found best solution","Review","Related Topics","Comment","","","","","","","","","","","","","","","",""
"205","Isomorphic Strings","17/07/2022","E","E","Leetcode","https://leetcode.com/problems/isomorphic-strings","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/205.py","Y","N","","","","","","","","","","","","","","","","","",""
"392","Is Subsequence","17/07/2022","E","E","Leetcode","https://leetcode.com/problems/is-subsequence/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/392.py","Y","N","","","","","","","","","","","","","","","","","",""
"21","Merge Two Sorted Lists ","17/07/2022","E","E","Leetcode","https://leetcode.com/problems/merge-two-sorted-lists/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/021.py","Y","N","","","","","","","","","","","","","","","","","",""
"560","Subarray Sum Equal K","18/07/2022","M","M","Leetcode","https://leetcode.com/problems/subarray-sum-equals-k/","- ","https://github.com/Jumaruba/LeetCode/blob/master/560.py","Y","Y","Dynammic programming","","","","","","","","","","","","","","","","",""
"792","Number of Matching Subsequence","20/07/2022","M","H","Leetcode","https://leetcode.com/problems/number-of-matching-subsequences/","July","https://github.com/Jumaruba/LeetCode/blob/master/792.py","Y","YY","","","","","","","","","","","","","","","","","",""
"876","Middle of Linked List","20/07/2022","E","E","Leetcode","https://leetcode.com/problems/middle-of-the-linked-list/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/876.py","Y","N","","","","","","","","","","","","","","","","","",""
"142","Linked List Cycle ","21/07/2022","M","E","Leetcode","https://leetcode.com/problems/linked-list-cycle-ii/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/142.py","Y","N","","Don't overcomplicate!!!","","","","","","","","","","","","","","","",""
"121","Best Time to Buy and Sell a Stock","21/07/2022","E","M","Leetcode","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/121.py","Y","Y","","","","","","","","","","","","","","","","","",""
"409","Longest Palindrome","21/07/2022","E","E","Leetcode","https://leetcode.com/problems/longest-palindrome/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/409.py","Y","Y","","","","","","","","","","","","","","","","","",""
"589","N-ary Preorder Traversal","21/07/2022","E","E","Leetcode","https://leetcode.com/problems/n-ary-tree-preorder-traversal/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/589.py","Y","N","","","","","","","","","","","","","","","","","",""
"102","Binary Tree Level Order Traversal","21/07/2022","M","M","Leetcode","https://leetcode.com/problems/binary-tree-level-order-traversal/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/102.py","Y","N","","","","","","","","","","","","","","","","","",""
"704","Binary Search","21/07/2022","E","E","Leetcode","https://leetcode.com/problems/binary-search/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/704.py","Y","N","","","","","","","","","","","","","","","","","",""
"278","First Bad Version","21/07/2022","E","E","Leetcode","https://leetcode.com/problems/first-bad-version/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/278.py","Y","N","","","","","","","","","","","","","","","","","",""
"912","Sort An Array","23/07/2022","M","M","Leetcode","https://leetcode.com/problems/sort-an-array/","-","https://github.com/Jumaruba/LeetCode/blob/master/912.py","Y","Y","Merge sort","","","","","","","","","","","","","","","","",""
"34","Find First and Last Position of Element in Sorted Array","24/07/2022","M","E","Leetcode","https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/","July","https://github.com/Jumaruba/LeetCode/blob/master/034.py","Y","N","","","","","","","","","","","","","","","","","",""
"236","Lowest Common Anscestor of a Tree","26/07/2022","M","E","Leetcode","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/","July","https://github.com/Jumaruba/LeetCode/blob/master/236.py","","","","","","","","","","","","","","","","","","","",""
"114","Flatten Binary Tree to Linked List","27/07/2022","M","M","Leetcode","https://leetcode.com/problems/flatten-binary-tree-to-linked-list/","July","https://github.com/Jumaruba/LeetCode/blob/master/114.py","Y","N","","","","","","","","","","","","","","","","","",""
"510","Inorder Successor in BST","28/07/2022","M","M","Leetcode","https://leetcode.com/problems/inorder-successor-in-bst-ii/","July","https://github.com/Jumaruba/LeetCode/blob/master/510.py","N","Y","","","","","","","","","","","","","","","","","",""
"242","Valid Anagram","28/07/2022","E","E","Leetcode","https://leetcode.com/problems/valid-anagram/","July","https://github.com/Jumaruba/LeetCode/blob/master/242.py","Y","N","","","","","","","","","","","","","","","","","",""
"890","Find and replace pattern","29/07/2022","M","E","Leetcode","https://leetcode.com/problems/find-and-replace-pattern/","July","https://github.com/Jumaruba/LeetCode/blob/master/890.py","Y","N","","","","","","","","","","","","","","","","","",""
"916","Word Subsets","30/07/2022","M","H","Leetcode","https://leetcode.com/problems/word-subsets/","July","https://github.com/Jumaruba/LeetCode/blob/master/916.py","Y","Y","","Got a hard time to understand the problem","","","","","","","","","","","","","","","",""
"98","Validate Binary Tree","31/07/2022","M","E","Leetcode","https://leetcode.com/problems/validate-binary-search-tree/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/098.py","Y","N","","","","","","","","","","","","","","","","","",""
"235","Lowest Common Anscestor in a Binary Tree","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/235.py","Y","N","","","","","","","","","","","","","","","","","",""
"704","Binary Search","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/binary-search/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/704.py","Y","N","","","","","","","","","","","","","","","","","",""
"278","First Bad Version ","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/first-bad-version/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/278.py","Y","N","","","","","","","","","","","","","","","","","",""
"1"," Two Sum ","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/two-sum/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/001.py","Y","N","","","","","","","","","","","","","","","","","",""
"692","Top K frequent words","31/07/2022","M","E","Leetcode","https://leetcode.com/problems/top-k-frequent-words/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/692.py","Y","N","","","","","","","","","","","","","","","","","",""
"200","Number of Island","","","","Leetcode","https://leetcode.com/problems/number-of-islands/","Leetcode 75","","","","","","","","","","","","","","","","","","","","",""
"884","Backspace string compare","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/backspace-string-compare/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/844.py","Y","N","","","","","","","","","","","","","","","","","",""
"438","Find All Anagrams in a String","","M","","Leetcode","https://leetcode.com/problems/find-all-anagrams-in-a-string/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/1046.py","Y","N","","","","","","","","","","","","","","","","","",""
"1046","Last Stone Weight","31/07/2022","E","E","Leetcode","https://leetcode.com/problems/last-stone-weight/","Leetcode 75","https://github.com/Jumaruba/LeetCode/blob/master/1046.py","Y","Y","Prioirty Queue","","","","","","","","","","","","","","","","",""
